Term,Class,Title,Description,Status,Days,Time,Seats
Summer 2024,CPSC 298,Computer Science Colloquium - Digital Integrated Circuits,"Students will be exposed to topics in computer science through directed reading, guest speakers, and practicums. P/NP. May be repeated for credit. (Offered every year.) 1 credit.",Open,Tuesday,2:00PM to 4:30PM,Open Seats 3 of 20
Summer 2024,CPSC 353,Data Comm/Computer Networks,"Prerequisite, CENG 231 or CPSC 231. Students explore the principles and techniques of data communications and give special emphasis to networks and distributed systems. The I.S.O. Reference Model for open systems interconnection will be investigated and the function and operation of each protocol layer analyzed in detail. Letter grade with Pass/No Pass option. (Offered every semester.) 3 credits.",Open,Monday Wednesday Friday,11:00AM to 12:30PM,Open Seats 4 of 20
Summer 2024,CPSC 380,Operating Systems,"Prerequisite, CPSC 350. The course emphasizes the major principles of operating system design and the interrelationship between the operating system and the hardware. (Offered every year.) 3 credits.",Open,Monday Wednesday Thursday,4:00PM to 6:30PM,Open Seats 7 of 20
